Event_ID,Session_ID,Funnel_Step,Step_Number,Event_Time,Restaurant_Name,Cuisine,Order_Value,Payment_Method,Delivery_Time_Mins
EVT1061,SES1018,Order Placed,5,2024-10-26 00:10:00,Paradise Biryani,Desserts,212.01,,
EVT1062,SES1019,App Opened,1,2024-03-11 00:02:00,,,,,
EVT1063,SES1019,Restaurant Viewed,2,2024-03-11 00:02:00,Dominos,Beverages,,,
EVT1064,SES1019,Menu Opened,3,2024-03-11 00:07:00,Chai Point,Chinese,,,
EVT1065,SES1019,Item Added to Cart,4,2024-03-11 00:08:00,Box8,Chinese,,,
EVT1066,SES1020,App Opened,1,2024-11-17 00:00:00,,,,,
EVT1067,SES1020,Menu Opened,3,2024-11-17 00:07:00,Box8,Desserts,,,
EVT1068,SES1020,Item Added to Cart,4,2024-11-17 00:07:00,Faasos,Chinese,,,
EVT1069,SES1021,App Opened,1,2024-07-14 00:03:00,,,,,
EVT1070,SES1021,Menu Opened,3,2024-07-14 00:06:00,Faasos,Pizza,,,
EVT1071,SES1021,Item Added to Cart,4,2024-07-14 00:06:00,Box8,Beverages,,,
EVT1072,SES1021,Order Placed,5,2024-07-14 00:11:00,Paradise Biryani,South Indian,671.86,,
EVT1073,SES1021,Payment Completed,6,2024-07-14 00:13:00,Dominos,South Indian,573.57,Wallet,
EVT1074,SES1022,App Opened,1,2024-02-28 00:03:00,,,,,
EVT1075,SES1022,Restaurant Viewed,2,2024-02-28 00:02:00,Dominos,Pizza,,,
EVT1076,SES1022,Order Delivered,7,2024-02-28 00:13:00,McDonalds,Beverages,462.5,Cash on Delivery,59
EVT1077,SES1023,App Opened,1,2024-03-21 00:01:00,,,,,
EVT1078,SES1023,Restaurant Viewed,2,2024-03-21 00:04:00,Barbeque Nation,Biryani,,,
EVT1079,SES1024,App Opened,1,2024-02-24 00:03:00,,,,,
EVT1080,SES1024,Item Added to Cart,4,2024-02-24 00:06:00,Burger King,Fast Food,,,
EVT1081,SES1024,Order Placed,5,2024-02-24 00:10:00,Burger King,Pizza,390.84,,
EVT1082,SES1025,App Opened,1,2024-07-10 00:03:00,,,,,
EVT1083,SES1025,Restaurant Viewed,2,2024-07-10 00:03:00,McDonalds,Beverages,,,
EVT1084,SES1025,Menu Opened,3,2024-07-10 00:07:00,Paradise Biryani,Desserts,,,
EVT1085,SES1025,Item Added to Cart,4,2024-07-10 00:07:00,McDonalds,North Indian,,,
EVT1086,SES1025,Order Placed,5,2024-07-10 00:08:00,McDonalds,Beverages,553.71,,
EVT1087,SES1025,Order Delivered,7,2024-07-10 00:13:00,Wow Momo,Beverages,723.38,Wallet,47
EVT1088,SES1026,App Opened,1,2024-06-14 00:03:00,,,,,
EVT1089,SES1026,Restaurant Viewed,2,2024-06-14 00:05:00,Wow Momo,Fast Food,,,
EVT1090,SES1026,Menu Opened,3,2024-06-14 00:07:00,Box8,North Indian,,,
EVT1091,SES1026,Payment Completed,6,2024-06-14 00:12:00,Wow Momo,Fast Food,104.09,UPI,
EVT1092,SES1027,App Opened,1,2024-05-02 00:00:00,,,,,
EVT1093,SES1027,Restaurant Viewed,2,2024-05-02 00:02:00,McDonalds,Biryani,,,
EVT1094,SES1027,Menu Opened,3,2024-05-02 00:04:00,Faasos,South Indian,,,
EVT1095,SES1027,Item Added to Cart,4,2024-05-02 00:06:00,Faasos,Biryani,,,
EVT1096,SES1028,App Opened,1,2024-09-05 00:03:00,,,,,
EVT1097,SES1028,Restaurant Viewed,2,2024-09-05 00:05:00,Box8,Fast Food,,,
EVT1098,SES1028,Menu Opened,3,2024-09-05 00:06:00,Barbeque Nation,Chinese,,,
EVT1099,SES1028,Item Added to Cart,4,2024-09-05 00:08:00,Box8,Biryani,,,
EVT1100,SES1028,Order Placed,5,2024-09-05 00:11:00,Box8,Chinese,492.46,,
EVT1101,SES1029,App Opened,1,2024-08-31 00:00:00,,,,,
EVT1102,SES1029,Restaurant Viewed,2,2024-08-31 00:02:00,McDonalds,South Indian,,,
EVT1103,SES1029,Item Added to Cart,4,2024-08-31 00:07:00,Box8,Biryani,,,
EVT1104,SES1029,Order Placed,5,2024-08-31 00:10:00,Burger King,South Indian,514.75,,
EVT1105,SES1030,App Opened,1,2024-10-03 00:02:00,,,,,
EVT1106,SES1030,Menu Opened,3,2024-10-03 00:05:00,Chai Point,Chinese,,,
EVT1107,SES1030,Order Delivered,7,2024-10-03 00:13:00,Box8,Chinese,683.08,Cash on Delivery,44
EVT1108,SES1031,App Opened,1,2024-09-21 00:03:00,,,,,
EVT1109,SES1031,Menu Opened,3,2024-09-21 00:06:00,Burger King,Biryani,,,
EVT1110,SES1031,Order Placed,5,2024-09-21 00:09:00,Chai Point,Desserts,422.89,,
EVT1111,SES1032,App Opened,1,2024-06-22 00:01:00,,,,,
EVT1112,SES1032,Restaurant Viewed,2,2024-06-22 00:05:00,Chai Point,Biryani,,,
EVT1113,SES1032,Menu Opened,3,2024-06-22 00:07:00,Burger King,Biryani,,,
EVT1114,SES1033,App Opened,1,2024-04-22 00:00:00,,,,,
EVT1115,SES1033,Restaurant Viewed,2,2024-04-22 00:04:00,Wow Momo,Biryani,,,
EVT1116,SES1033,Menu Opened,3,2024-04-22 00:06:00,Dominos,Biryani,,,
EVT1117,SES1034,App Opened,1,2024-02-04 00:01:00,,,,,
EVT1118,SES1034,Restaurant Viewed,2,2024-02-04 00:03:00,Paradise Biryani,North Indian,,,
EVT1119,SES1034,Order Placed,5,2024-02-04 00:08:00,Faasos,South Indian,573.56,,
EVT1120,SES1035,App Opened,1,2024-12-08 00:00:00,,,,,
EVT1121,SES1035,Restaurant Viewed,2,2024-12-08 00:02:00,Burger King,Pizza,,,
EVT1122,SES1035,Payment Completed,6,2024-12-08 00:11:00,Wow Momo,Chinese,725.12,Credit Card,
EVT1123,SES1036,App Opened,1,2024-10-19 00:00:00,,,,,
EVT1124,SES1036,Restaurant Viewed,2,2024-10-19 00:04:00,Wow Momo,Fast Food,,,
EVT1125,SES1036,Menu Opened,3,2024-10-19 00:04:00,Barbeque Nation,North Indian,,,
EVT1126,SES1036,Item Added to Cart,4,2024-10-19 00:08:00,Burger King,Biryani,,,
EVT1127,SES1037,App Opened,1,2024-02-18 00:01:00,,,,,
EVT1128,SES1037,Restaurant Viewed,2,2024-02-18 00:03:00,Chai Point,South Indian,,,
EVT1129,SES1037,Menu Opened,3,2024-02-18 00:07:00,Haldirams,South Indian,,,
EVT1130,SES1037,Payment Completed,6,2024-02-18 00:10:00,Dominos,Biryani,639.61,UPI,
EVT1131,SES1038,App Opened,1,2024-08-27 00:00:00,,,,,
EVT1132,SES1038,Item Added to Cart,4,2024-08-27 00:08:00,Wow Momo,North Indian,,,
EVT1133,SES1039,App Opened,1,2024-06-22 00:00:00,,,,,
EVT1134,SES1039,Restaurant Viewed,2,2024-06-22 00:02:00,Wow Momo,Beverages,,,
EVT1135,SES1039,Menu Opened,3,2024-06-22 00:06:00,Paradise Biryani,Biryani,,,
EVT1136,SES1039,Item Added to Cart,4,2024-06-22 00:06:00,Paradise Biryani,Fast Food,,,
EVT1137,SES1039,Order Placed,5,2024-06-22 00:11:00,Barbeque Nation,Pizza,207.17,,
EVT1138,SES1039,Payment Completed,6,2024-06-22 00:13:00,Haldirams,Biryani,581.04,UPI,
EVT1139,SES1040,App Opened,1,2024-08-17 00:00:00,,,,,
EVT1140,SES1040,Menu Opened,3,2024-08-17 00:05:00,McDonalds,North Indian,,,
EVT1141,SES1040,Item Added to Cart,4,2024-08-17 00:07:00,Chai Point,Desserts,,,
EVT1142,SES1040,Order Placed,5,2024-08-17 00:10:00,Chai Point,Beverages,775.93,,
EVT1143,SES1040,Payment Completed,6,2024-08-17 00:12:00,Burger King,Fast Food,647.2,UPI,
EVT1144,SES1041,App Opened,1,2024-05-07 00:03:00,,,,,
EVT1145,SES1041,Payment Completed,6,2024-05-07 00:10:00,Burger King,Chinese,432,UPI,
EVT1146,SES1042,App Opened,1,2024-11-29 00:00:00,,,,,
EVT1147,SES1042,Restaurant Viewed,2,2024-11-29 00:03:00,Burger King,Chinese,,,
EVT1148,SES1042,Payment Completed,6,2024-11-29 00:11:00,Box8,South Indian,668.82,UPI,
EVT1149,SES1042,Order Delivered,7,2024-11-29 00:13:00,Dominos,Pizza,386.87,Cash on Delivery,40
EVT1150,SES1043,App Opened,1,2024-09-05 00:01:00,,,,,
EVT1151,SES1043,Restaurant Viewed,2,2024-09-05 00:03:00,Burger King,Chinese,,,
EVT1152,SES1043,Menu Opened,3,2024-09-05 00:04:00,Barbeque Nation,Chinese,,,
EVT1153,SES1043,Order Placed,5,2024-09-05 00:10:00,Faasos,Chinese,395.84,,
EVT1154,SES1043,Order Delivered,7,2024-09-05 00:12:00,Box8,Desserts,639.92,UPI,51
EVT1155,SES1044,App Opened,1,2024-07-13 00:00:00,,,,,
EVT1156,SES1044,Restaurant Viewed,2,2024-07-13 00:02:00,Box8,Biryani,,,
EVT1157,SES1044,Menu Opened,3,2024-07-13 00:07:00,McDonalds,Pizza,,,
EVT1158,SES1044,Item Added to Cart,4,2024-07-13 00:08:00,Faasos,Beverages,,,
EVT1159,SES1045,App Opened,1,2024-08-04 00:01:00,,,,,
EVT1160,SES1045,Restaurant Viewed,2,2024-08-04 00:02:00,Barbeque Nation,Fast Food,,,
EVT1161,SES1045,Menu Opened,3,2024-08-04 00:05:00,Haldirams,South Indian,,,
EVT1162,SES1046,App Opened,1,2024-01-30 00:01:00,,,,,
EVT1163,SES1046,Restaurant Viewed,2,2024-01-30 00:03:00,Barbeque Nation,North Indian,,,
EVT1164,SES1046,Menu Opened,3,2024-01-30 00:05:00,Chai Point,Beverages,,,
EVT1165,SES1046,Item Added to Cart,4,2024-01-30 00:06:00,Burger King,Fast Food,,,
EVT1166,SES1046,Order Placed,5,2024-01-30 00:11:00,Barbeque Nation,Fast Food,524.11,,
EVT1167,SES1047,App Opened,1,2024-09-01 00:00:00,,,,,
EVT1168,SES1047,Menu Opened,3,2024-09-01 00:04:00,Chai Point,South Indian,,,
EVT1169,SES1047,Item Added to Cart,4,2024-09-01 00:07:00,Chai Point,Fast Food,,,
EVT1170,SES1048,App Opened,1,2024-02-05 00:00:00,,,,,
EVT1171,SES1048,Restaurant Viewed,2,2024-02-05 00:02:00,Haldirams,Desserts,,,
EVT1172,SES1048,Item Added to Cart,4,2024-02-05 00:07:00,Dominos,Beverages,,,
EVT1173,SES1048,Payment Completed,6,2024-02-05 00:13:00,McDonalds,Pizza,748.08,Cash on Delivery,
EVT1174,SES1048,Order Delivered,7,2024-02-05 00:14:00,McDonalds,Beverages,598.27,Debit Card,37
EVT1175,SES1049,App Opened,1,2024-05-06 00:01:00,,,,,
EVT1176,SES1049,Restaurant Viewed,2,2024-05-06 00:02:00,Barbeque Nation,Chinese,,,
EVT1177,SES1049,Menu Opened,3,2024-05-06 00:07:00,Chai Point,Desserts,,,
EVT1178,SES1049,Item Added to Cart,4,2024-05-06 00:08:00,Haldirams,Biryani,,,
EVT1179,SES1050,App Opened,1,2024-10-25 00:01:00,,,,,
EVT1180,SES1050,Restaurant Viewed,2,2024-10-25 00:03:00,Dominos,Desserts,,,
EVT1181,SES1051,App Opened,1,2024-05-15 00:03:00,,,,,
EVT1182,SES1051,Menu Opened,3,2024-05-15 00:06:00,Wow Momo,Pizza,,,
EVT1183,SES1051,Payment Completed,6,2024-05-15 00:10:00,Wow Momo,North Indian,108.84,Cash on Delivery,
EVT1184,SES1052,App Opened,1,2024-06-10 00:03:00,,,,,
EVT1185,SES1052,Restaurant Viewed,2,2024-06-10 00:05:00,Dominos,Beverages,,,
EVT1186,SES1052,Menu Opened,3,2024-06-10 00:04:00,Faasos,North Indian,,,
EVT1187,SES1052,Payment Completed,6,2024-06-10 00:12:00,Barbeque Nation,Pizza,546.3,UPI,
EVT1188,SES1052,Order Delivered,7,2024-06-10 00:14:00,McDonalds,Beverages,697.7,Wallet,21
EVT1189,SES1053,App Opened,1,2024-10-02 00:03:00,,,,,
EVT1190,SES1053,Item Added to Cart,4,2024-10-02 00:08:00,Chai Point,North Indian,,,
EVT1191,SES1053,Payment Completed,6,2024-10-02 00:12:00,Faasos,North Indian,293.54,Debit Card,
EVT1192,SES1054,App Opened,1,2024-02-05 00:01:00,,,,,
EVT1193,SES1054,Menu Opened,3,2024-02-05 00:06:00,Burger King,Fast Food,,,
EVT1194,SES1054,Order Placed,5,2024-02-05 00:10:00,Chai Point,North Indian,343.21,,
EVT1195,SES1054,Payment Completed,6,2024-02-05 00:10:00,Faasos,Pizza,179.65,Debit Card,
EVT1196,SES1055,App Opened,1,2024-10-05 00:03:00,,,,,
EVT1197,SES1056,App Opened,1,2024-10-10 00:02:00,,,,,
EVT1198,SES1056,Restaurant Viewed,2,2024-10-10 00:05:00,Barbeque Nation,North Indian,,,
EVT1199,SES1056,Menu Opened,3,2024-10-10 00:06:00,Chai Point,Beverages,,,
EVT1200,SES1057,App Opened,1,2024-02-24 00:02:00,,,,,
EVT1201,SES1057,Restaurant Viewed,2,2024-02-24 00:04:00,Dominos,Pizza,,,
EVT1202,SES1057,Order Placed,5,2024-02-24 00:09:00,Barbeque Nation,South Indian,158.74,,
EVT1203,SES1058,App Opened,1,2024-06-24 00:01:00,,,,,
EVT1204,SES1058,Restaurant Viewed,2,2024-06-24 00:02:00,Barbeque Nation,Desserts,,,
EVT1205,SES1058,Order Placed,5,2024-06-24 00:10:00,Wow Momo,Beverages,611.15,,
EVT1206,SES1058,Payment Completed,6,2024-06-24 00:11:00,Dominos,North Indian,707.69,Credit Card,
EVT1207,SES1059,App Opened,1,2024-01-27 00:02:00,,,,,
EVT1208,SES1059,Restaurant Viewed,2,2024-01-27 00:04:00,Paradise Biryani,Beverages,,,
EVT1209,SES1060,App Opened,1,2024-06-19 00:02:00,,,,,
EVT1210,SES1060,Restaurant Viewed,2,2024-06-19 00:04:00,Haldirams,Beverages,,,
EVT1211,SES1060,Menu Opened,3,2024-06-19 00:06:00,Burger King,Chinese,,,
EVT1212,SES1060,Item Added to Cart,4,2024-06-19 00:09:00,McDonalds,Chinese,,,
EVT1213,SES1061,App Opened,1,2024-12-27 00:01:00,,,,,
EVT1214,SES1061,Restaurant Viewed,2,2024-12-27 00:02:00,Burger King,Fast Food,,,
EVT1215,SES1061,Menu Opened,3,2024-12-27 00:07:00,Barbeque Nation,Fast Food,,,
EVT1216,SES1061,Item Added to Cart,4,2024-12-27 00:06:00,Paradise Biryani,Fast Food,,,
EVT1217,SES1061,Order Placed,5,2024-12-27 00:11:00,Faasos,Chinese,464.22,,
EVT1218,SES1061,Payment Completed,6,2024-12-27 00:10:00,Wow Momo,Beverages,633.33,Cash on Delivery,
EVT1219,SES1062,App Opened,1,2024-12-19 00:02:00,,,,,
EVT1220,SES1062,Restaurant Viewed,2,2024-12-19 00:04:00,Chai Point,Biryani,,,
EVT1221,SES1063,App Opened,1,2024-10-09 00:03:00,,,,,
EVT1222,SES1063,Restaurant Viewed,2,2024-10-09 00:02:00,Chai Point,North Indian,,,
EVT1223,SES1063,Menu Opened,3,2024-10-09 00:04:00,Barbeque Nation,North Indian,,,
EVT1224,SES1063,Item Added to Cart,4,2024-10-09 00:07:00,Chai Point,Fast Food,,,
EVT1225,SES1063,Order Placed,5,2024-10-09 00:08:00,Box8,Pizza,500.07,,
EVT1226,SES1063,Payment Completed,6,2024-10-09 00:12:00,Haldirams,North Indian,140.18,Cash on Delivery,
EVT1227,SES1064,App Opened,1,2024-07-05 00:03:00,,,,,
EVT1228,SES1064,Restaurant Viewed,2,2024-07-05 00:04:00,Box8,North Indian,,,
EVT1229,SES1064,Item Added to Cart,4,2024-07-05 00:07:00,Wow Momo,Fast Food,,,
EVT1230,SES1064,Payment Completed,6,2024-07-05 00:12:00,Paradise Biryani,Biryani,783.82,Wallet,
EVT1231,SES1064,Order Delivered,7,2024-07-05 00:15:00,Wow Momo,Beverages,287.82,Cash on Delivery,46
EVT1232,SES1065,App Opened,1,2024-02-22 00:00:00,,,,,
EVT1233,SES1065,Restaurant Viewed,2,2024-02-22 00:04:00,Chai Point,Fast Food,,,
EVT1234,SES1065,Menu Opened,3,2024-02-22 00:07:00,Dominos,North Indian,,,
EVT1235,SES1065,Item Added to Cart,4,2024-02-22 00:08:00,Wow Momo,Chinese,,,
EVT1236,SES1066,App Opened,1,2024-03-24 00:01:00,,,,,
EVT1237,SES1066,Menu Opened,3,2024-03-24 00:07:00,Burger King,Biryani,,,
EVT1238,SES1067,App Opened,1,2024-06-19 00:00:00,,,,,
EVT1239,SES1067,Restaurant Viewed,2,2024-06-19 00:04:00,Chai Point,South Indian,,,
EVT1240,SES1068,App Opened,1,2024-02-25 00:00:00,,,,,
EVT1241,SES1068,Menu Opened,3,2024-02-25 00:04:00,Box8,Fast Food,,,
EVT1242,SES1069,App Opened,1,2024-08-23 00:00:00,,,,,
EVT1243,SES1069,Restaurant Viewed,2,2024-08-23 00:02:00,Barbeque Nation,Chinese,,,
EVT1244,SES1069,Item Added to Cart,4,2024-08-23 00:09:00,McDonalds,Fast Food,,,
EVT1245,SES1069,Order Placed,5,2024-08-23 00:10:00,Paradise Biryani,Desserts,538.1,,
EVT1246,SES1069,Order Delivered,7,2024-08-23 00:14:00,Faasos,South Indian,449.98,Credit Card,26
EVT1247,SES1070,App Opened,1,2024-12-03 00:01:00,,,,,
EVT1248,SES1070,Restaurant Viewed,2,2024-12-03 00:04:00,Barbeque Nation,Biryani,,,
EVT1249,SES1070,Order Placed,5,2024-12-03 00:10:00,McDonalds,North Indian,178.6,,
EVT1250,SES1071,App Opened,1,2024-05-22 00:01:00,,,,,
EVT1251,SES1071,Restaurant Viewed,2,2024-05-22 00:03:00,Faasos,Pizza,,,
EVT1252,SES1072,App Opened,1,2024-02-29 00:00:00,,,,,
EVT1253,SES1072,Restaurant Viewed,2,2024-02-29 00:02:00,Dominos,Chinese,,,
EVT1254,SES1073,App Opened,1,2024-02-25 00:02:00,,,,,
EVT1255,SES1073,Restaurant Viewed,2,2024-02-25 00:04:00,Burger King,South Indian,,,
EVT1256,SES1073,Menu Opened,3,2024-02-25 00:05:00,Haldirams,Biryani,,,
EVT1257,SES1073,Item Added to Cart,4,2024-02-25 00:07:00,Dominos,Desserts,,,
EVT1258,SES1073,Order Delivered,7,2024-02-25 00:15:00,Wow Momo,North Indian,221.37,UPI,52
EVT1259,SES1074,App Opened,1,2024-09-18 00:03:00,,,,,
EVT1260,SES1074,Restaurant Viewed,2,2024-09-18 00:04:00,Burger King,South Indian,,,
EVT1261,SES1074,Menu Opened,3,2024-09-18 00:04:00,Dominos,South Indian,,,
EVT1262,SES1074,Order Placed,5,2024-09-18 00:09:00,McDonalds,Fast Food,101.07,,
EVT1263,SES1074,Payment Completed,6,2024-09-18 00:12:00,Box8,Fast Food,333.59,Wallet,
EVT1264,SES1075,App Opened,1,2024-01-23 00:00:00,,,,,
EVT1265,SES1075,Restaurant Viewed,2,2024-01-23 00:02:00,Faasos,Pizza,,,
EVT1266,SES1075,Order Placed,5,2024-01-23 00:08:00,Dominos,Pizza,742.74,,
EVT1267,SES1076,App Opened,1,2024-08-08 00:01:00,,,,,
EVT1268,SES1076,Restaurant Viewed,2,2024-08-08 00:02:00,McDonalds,Fast Food,,,
EVT1269,SES1076,Item Added to Cart,4,2024-08-08 00:07:00,Wow Momo,South Indian,,,
EVT1270,SES1077,App Opened,1,2024-03-04 00:03:00,,,,,
EVT1271,SES1077,Order Placed,5,2024-03-04 00:10:00,Chai Point,South Indian,357.04,,
EVT1272,SES1078,App Opened,1,2024-07-25 00:03:00,,,,,
EVT1273,SES1078,Restaurant Viewed,2,2024-07-25 00:05:00,Barbeque Nation,Desserts,,,
EVT1274,SES1078,Menu Opened,3,2024-07-25 00:04:00,Chai Point,Fast Food,,,
EVT1275,SES1078,Item Added to Cart,4,2024-07-25 00:09:00,Dominos,Desserts,,,
EVT1276,SES1078,Order Delivered,7,2024-07-25 00:13:00,Wow Momo,Desserts,580.43,UPI,30
EVT1277,SES1079,App Opened,1,2024-12-06 00:01:00,,,,,
EVT1278,SES1079,Restaurant Viewed,2,2024-12-06 00:05:00,Dominos,Pizza,,,
EVT1279,SES1079,Order Placed,5,2024-12-06 00:10:00,Wow Momo,Fast Food,422.59,,
EVT1280,SES1080,App Opened,1,2024-10-07 00:02:00,,,,,
EVT1281,SES1080,Restaurant Viewed,2,2024-10-07 00:05:00,Dominos,South Indian,,,
EVT1282,SES1080,Menu Opened,3,2024-10-07 00:07:00,Haldirams,Chinese,,,
EVT1283,SES1080,Item Added to Cart,4,2024-10-07 00:06:00,Dominos,Beverages,,,
EVT1284,SES1081,App Opened,1,2024-10-23 00:01:00,,,,,
EVT1285,SES1081,Restaurant Viewed,2,2024-10-23 00:02:00,Dominos,Beverages,,,
EVT1286,SES1081,Item Added to Cart,4,2024-10-23 00:09:00,Chai Point,Biryani,,,
EVT1287,SES1082,App Opened,1,2024-04-19 00:00:00,,,,,
EVT1288,SES1082,Item Added to Cart,4,2024-04-19 00:09:00,Paradise Biryani,Desserts,,,
EVT1289,SES1082,Payment Completed,6,2024-04-19 00:11:00,Faasos,Biryani,716.98,Credit Card,
EVT1290,SES1083,App Opened,1,2024-09-20 00:03:00,,,,,
EVT1291,SES1083,Restaurant Viewed,2,2024-09-20 00:02:00,Box8,Beverages,,,
EVT1292,SES1084,App Opened,1,2024-04-11 00:03:00,,,,,
EVT1293,SES1084,Restaurant Viewed,2,2024-04-11 00:05:00,Box8,Fast Food,,,
EVT1294,SES1084,Item Added to Cart,4,2024-04-11 00:06:00,Burger King,North Indian,,,
EVT1295,SES1084,Order Placed,5,2024-04-11 00:10:00,Paradise Biryani,North Indian,630.94,,
EVT1296,SES1085,App Opened,1,2024-11-08 00:02:00,,,,,
EVT1297,SES1085,Restaurant Viewed,2,2024-11-08 00:02:00,Haldirams,Pizza,,,
EVT1298,SES1085,Menu Opened,3,2024-11-08 00:06:00,Box8,South Indian,,,
EVT1299,SES1085,Order Placed,5,2024-11-08 00:10:00,Dominos,Fast Food,202.24,,
